Date,Price,Open,High,Low,Change %
2019-03-24,1.1217,1.1292,1.1332,1.1207,-0.85
2019-03-31,1.1214,1.1216,1.1255,1.1181,-0.03
2019-04-07,1.13,1.1216,1.1325,1.1211,0.77
2019-04-14,1.1246,1.1298,1.1324,1.1224,-0.48
2019-04-21,1.1148,1.1244,1.1263,1.111,-0.87
2019-04-28,1.12,1.1152,1.1265,1.1133,0.47
2019-05-05,1.1233,1.117,1.1253,1.1158,0.29
2019-05-12,1.1156,1.124,1.1265,1.1153,-0.69
2019-05-19,1.1202,1.1157,1.1212,1.1106,0.41
2019-05-26,1.1167,1.1194,1.1215,1.1114,-0.31
2019-06-02,1.1331,1.1167,1.1347,1.1154,1.47
2019-06-09,1.1207,1.1322,1.1343,1.12,-1.09
2019-06-16,1.1366,1.1214,1.1377,1.1179,1.42
2019-06-23,1.1368,1.1359,1.1412,1.1342,0.02
2019-06-30,1.1224,1.1374,1.1374,1.1205,-1.27
2019-07-07,1.1269,1.1221,1.1285,1.1192,0.4
2019-07-14,1.122,1.1267,1.1284,1.1198,-0.43
2019-07-21,1.1125,1.1216,1.1225,1.11,-0.85
2019-07-28,1.1107,1.1126,1.1162,1.1025,-0.16
2019-08-04,1.1198,1.1101,1.1249,1.1101,0.82
2019-08-11,1.1089,1.1202,1.123,1.1065,-0.97
2019-08-18,1.1144,1.1092,1.1154,1.1051,0.5
2019-08-25,1.0989,1.1145,1.1166,1.0963,-1.39
2019-09-01,1.1027,1.0989,1.1085,1.0926,0.35
2019-09-08,1.1073,1.1024,1.111,1.0927,0.42
2019-09-15,1.1017,1.1087,1.1093,1.099,-0.51
2019-09-22,1.0938,1.1016,1.1027,1.0905,-0.72
2019-09-29,1.0976,1.094,1.1,1.0878,0.35
2019-10-06,1.104,1.0976,1.1063,1.0941,0.58
2019-10-13,1.1169,1.1044,1.1173,1.0991,1.17
2019-10-20,1.1078,1.1143,1.118,1.1072,-0.81
2019-10-27,1.1165,1.1082,1.1176,1.1073,0.79
2019-11-03,1.1016,1.1165,1.1176,1.1016,-1.33
2019-11-10,1.105,1.1022,1.1058,1.0989,0.31
2019-11-17,1.1022,1.1052,1.1098,1.1014,-0.25
2019-11-24,1.1015,1.1024,1.1033,1.098,-0.06
2019-12-01,1.1057,1.1014,1.1116,1.1003,0.38
2019-12-08,1.1119,1.1055,1.12,1.1052,0.56
2019-12-15,1.1078,1.1122,1.1176,1.1065,-0.37
2019-12-22,1.1175,1.1081,1.1188,1.1069,0.88
2019-12-29,1.1158,1.1175,1.124,1.1125,-0.15
2020-01-05,1.112,1.1168,1.1207,1.1085,-0.34
2020-01-12,1.1088,1.1125,1.1173,1.1085,-0.29
2020-01-19,1.1023,1.1092,1.1119,1.102,-0.59
2020-01-26,1.1093,1.1021,1.1097,1.0991,0.64
2020-02-02,1.0943,1.1092,1.1096,1.0941,-1.35
2020-02-09,1.083,1.0951,1.0958,1.0827,-1.03
2020-02-16,1.0843,1.0832,1.0864,1.0776,0.12
2020-02-23,1.1025,1.0841,1.1054,1.0805,1.68
2020-03-01,1.1285,1.1003,1.1356,1.1003,2.36
2020-03-08,1.1105,1.1292,1.1494,1.1054,-1.6
2020-03-15,1.0694,1.1085,1.1237,1.0637,-3.7
2020-03-22,1.114,1.0696,1.1148,1.0637,4.17
2020-03-29,1.0808,1.1136,1.1145,1.0773,-2.98
2020-04-05,1.0935,1.0813,1.0953,1.0768,1.18
2020-04-12,1.0876,1.0941,1.0991,1.0812,-0.54
2020-04-19,1.082,1.0875,1.0898,1.0726,-0.51
2020-04-26,1.0983,1.0809,1.1019,1.0808,1.51
2020-05-03,1.084,1.098,1.098,1.0766,-1.3
2020-05-10,1.0815,1.0838,1.0897,1.0775,-0.23
2020-05-17,1.09,1.0816,1.101,1.0799,0.79
2020-05-24,1.1098,1.0903,1.1146,1.087,1.82
2020-05-31,1.1284,1.1097,1.1385,1.1095,1.68
2020-06-07,1.1254,1.1289,1.1423,1.1212,-0.27
2020-06-14,1.1175,1.1245,1.1353,1.1168,-0.7
2020-06-21,1.1217,1.1185,1.135,1.1168,0.38
2020-06-28,1.1248,1.1227,1.1303,1.1185,0.28
2020-07-05,1.1298,1.1242,1.1372,1.124,0.44
2020-07-12,1.1426,1.13,1.1452,1.1297,1.13
2020-07-19,1.1654,1.141,1.1659,1.1401,2.0
2020-07-26,1.1774,1.1646,1.191,1.1637,1.03
2020-08-02,1.1786,1.1783,1.1917,1.1696,0.1
2020-08-09,1.1841,1.1788,1.1865,1.171,0.47
2020-08-16,1.1795,1.184,1.1967,1.1754,-0.39
2020-08-23,1.1903,1.1787,1.192,1.1762,0.92
2020-08-30,1.1838,1.1899,1.2012,1.1781,-0.55
2020-09-06,1.1845,1.1833,1.1918,1.1753,0.06
2020-09-13,1.1837,1.184,1.1901,1.1737,-0.07
2020-09-20,1.163,1.1848,1.1873,1.1612,-1.75
2020-09-27,1.1713,1.1638,1.177,1.1615,0.71
2020-10-04,1.1824,1.1716,1.1832,1.1707,0.95
2020-10-11,1.1718,1.1819,1.1827,1.1688,-0.9
2020-10-18,1.1859,1.1722,1.1882,1.1703,1.2
2020-10-25,1.1647,1.1858,1.1861,1.1639,-1.79
2020-11-01,1.1872,1.1658,1.1891,1.1603,1.93
2020-11-08,1.1832,1.1882,1.192,1.1745,-0.34
2020-11-15,1.1853,1.1829,1.1895,1.1813,0.18
2020-11-22,1.1962,1.1853,1.1965,1.18,0.92
2020-11-29,1.212,1.1957,1.2178,1.1924,1.32
2020-12-06,1.2111,1.2128,1.2167,1.2059,-0.07
2020-12-13,1.2255,1.2131,1.2274,1.2115,1.19
2020-12-20,1.2204,1.2242,1.2257,1.2129,-0.42
2020-12-27,1.2212,1.2202,1.2311,1.2181,0.07
2021-01-03,1.2218,1.2231,1.235,1.2191,0.05
2021-01-10,1.2078,1.2217,1.2227,1.2074,-1.15
2021-01-17,1.2167,1.2085,1.2191,1.2054,0.74
2021-01-24,1.2136,1.2168,1.2184,1.2057,-0.25
2021-01-31,1.2042,1.214,1.2146,1.1952,-0.77
2021-02-07,1.2118,1.2042,1.215,1.2019,0.63
2021-02-14,1.2117,1.2123,1.217,1.2023,-0.01
2021-02-21,1.2074,1.2117,1.2243,1.2062,-0.35
2021-02-28,1.1917,1.2079,1.2113,1.1894,-1.3
2021-03-07,1.1952,1.1922,1.199,1.1835,0.29
2021-03-14,1.1903,1.1952,1.199,1.1874,-0.41
2021-03-21,1.1796,1.1899,1.1947,1.1761,-0.9
2021-03-28,1.1762,1.1795,1.1797,1.1703,-0.29
2021-04-04,1.1896,1.1761,1.1928,1.1738,1.14
2021-04-11,1.1983,1.1891,1.1996,1.187,0.73
2021-04-18,1.2099,1.1984,1.21,1.1942,0.97
2021-04-25,1.2018,1.2093,1.215,1.2016,-0.67
2021-05-02,1.2163,1.2031,1.2172,1.1985,1.21
2021-05-09,1.214,1.2161,1.2182,1.205,-0.19
2021-05-16,1.2179,1.214,1.2246,1.2126,0.32
2021-05-23,1.2189,1.2178,1.2267,1.2132,0.08
2021-05-30,1.2165,1.2192,1.2255,1.2104,-0.2
2021-06-06,1.2106,1.2168,1.2219,1.2092,-0.49
2021-06-13,1.186,1.211,1.2149,1.1846,-2.03
2021-06-20,1.1933,1.1868,1.1976,1.1847,0.62
2021-06-27,1.1864,1.1935,1.1946,1.1806,-0.58
2021-07-04,1.1873,1.1862,1.1896,1.1782,0.08
2021-07-11,1.1805,1.1872,1.1881,1.1772,-0.57
2021-07-18,1.1771,1.1808,1.1831,1.1752,-0.29
2021-07-25,1.187,1.1778,1.191,1.1763,0.84
2021-08-01,1.176,1.1864,1.1901,1.1753,-0.93
2021-08-08,1.1791,1.1762,1.1805,1.1705,0.26
2021-08-15,1.1696,1.1794,1.1802,1.1664,-0.81
2021-08-22,1.1793,1.1694,1.1803,1.1691,0.83
2021-08-29,1.1882,1.1793,1.191,1.1782,0.75
2021-09-05,1.1814,1.1879,1.1888,1.1802,-0.57
2021-09-12,1.1725,1.1813,1.1846,1.1724,-0.75
2021-09-19,1.1714,1.1732,1.1757,1.1683,-0.09
2021-09-26,1.1594,1.1724,1.1728,1.1562,-1.02
2021-10-03,1.1567,1.1593,1.1641,1.1529,-0.23
2021-10-10,1.16,1.1571,1.1625,1.1524,0.29
2021-10-17,1.1647,1.1597,1.167,1.1571,0.41
2021-10-24,1.1561,1.1644,1.1693,1.1535,-0.74
2021-10-31,1.1566,1.1559,1.1617,1.1513,0.04
2021-11-07,1.145,1.1555,1.1609,1.1432,-1.0
2021-11-14,1.1288,1.1452,1.1465,1.125,-1.41
2021-11-21,1.1317,1.1292,1.1331,1.1185,0.26
